date,iso_code,location,new_cases,new_cases_smoothed,reproduction_rate,icu_patients,hosp_patients,new_deaths
2020-05-07,ARE,United Arab Emirates,998,1012.2,1.065,19.9,,6
2020-05-08,ARE,United Arab Emirates,1010,1024.37,1.18,,240.4,5
2020-05-09,ARE,United Arab Emirates,1022,1029.46,1.109,30.0,319.1,6
2020-05-10,ARE,United Arab Emirates,1033,1035.68,0.974,42.3,381.7,3
2020-05-11,ARE,United Arab Emirates,1097,1044.22,0.879,,,2
2020-05-12,ARE,United Arab Emirates,1101,1059.91,1.027,,239.3,3
2020-05-13,ARE,United Arab Emirates,1068,1047.46,1.028,,,7
2020-05-14,ARE,United Arab Emirates,1078,1058.84,0.95,62.1,,5
2020-05-15,ARE,United Arab Emirates,1089,1070.07,1.105,,192.1,7
2020-05-16,ARE,United Arab Emirates,1099,1081.17,1.238,,234.9,7
2020-05-17,ARE,United Arab Emirates,1147,1097.44,1.079,,,6
2020-05-18,ARE,United Arab Emirates,1120,1100.81,1.076,43.6,,8
2020-05-19,ARE,United Arab Emirates,1131,1105.02,0.969,,,6
2020-05-20,ARE,United Arab Emirates,1166,1119.0,1.206,,182.2,9
2020-05-21,ARE,United Arab Emirates,1208,1137.65,1.061,,,5
2020-05-22,ARE,United Arab Emirates,1173,1149.72,1.014,63.3,146.0,4
2020-05-23,ARE,United Arab Emirates,1186,1162.05,1.081,,,9
2020-05-24,ARE,United Arab Emirates,1248,1176.47,1.125,,,7
2020-05-25,ARE,United Arab Emirates,1198,1187.5,1.095,37.7,,4
2020-05-26,ARE,United Arab Emirates,1198,1197.13,1.205,,,6
2020-05-27,ARE,United Arab Emirates,1241,1207.83,1.126,28.0,,8
2020-05-28,ARE,United Arab Emirates,1216,1208.88,1.062,,267.3,4
2020-05-29,ARE,United Arab Emirates,1224,1216.21,1.133,,216.6,8
2020-05-30,ARE,United Arab Emirates,1297,1232.06,1.146,,96.6,1
2020-05-31,ARE,United Arab Emirates,1241,1231.11,0.97,,157.4,4
2020-06-01,ARE,United Arab Emirates,1250,1238.54,1.217,49.9,151.4,7
2020-06-02,ARE,United Arab Emirates,1275,1249.54,1.075,,193.8,5
2020-06-03,ARE,United Arab Emirates,1265,1253.09,1.081,28.2,234.1,6
2020-06-04,ARE,United Arab Emirates,1273,1261.29,1.186,,,3
2020-06-05,ARE,United Arab Emirates,1303,1272.56,1.189,,,4
2020-06-06,ARE,United Arab Emirates,1288,1271.33,1.047,,,6
2020-06-07,ARE,United Arab Emirates,1306,1280.56,1.2,44.1,,7
2020-06-08,ARE,United Arab Emirates,1302,1288.1,1.067,,,8
2020-06-09,ARE,United Arab Emirates,1309,1293.0,1.308,,235.5,5
2020-06-10,ARE,United Arab Emirates,1386,1310.22,1.046,,,6
2020-06-11,ARE,United Arab Emirates,1322,1317.25,1.155,,,8
2020-06-12,ARE,United Arab Emirates,1329,1320.86,1.056,,,3
2020-06-13,ARE,United Arab Emirates,1335,1327.54,1.359,60.0,,6
2020-06-14,ARE,United Arab Emirates,1341,1332.52,1.016,,,6
2020-06-15,ARE,United Arab Emirates,1352,1339.58,1.195,50.1,,7
2020-06-16,ARE,United Arab Emirates,1352,1345.74,1.072,,,5
2020-06-17,ARE,United Arab Emirates,1358,1341.7,1.113,64.0,,8
2020-06-18,ARE,United Arab Emirates,1363,1347.53,1.197,58.4,97.9,3
2020-06-19,ARE,United Arab Emirates,1392,1356.57,1.277,,96.9,5
2020-06-20,ARE,United Arab Emirates,1373,1362.02,1.319,39.5,,9
2020-06-21,ARE,United Arab Emirates,1378,1367.29,1.006,,,7
2020-06-22,ARE,United Arab Emirates,1382,1371.65,1.189,71.9,,12
2020-06-23,ARE,United Arab Emirates,1404,1378.99,1.311,40.4,211.3,7
2020-06-24,ARE,United Arab Emirates,1391,1383.73,0.999,,,6
2020-06-25,ARE,United Arab Emirates,1433,1393.73,1.202,,,6
2020-06-26,ARE,United Arab Emirates,1399,1394.68,1.173,,108.7,6
2020-06-27,ARE,United Arab Emirates,1402,1398.87,1.217,,,7
2020-06-28,ARE,United Arab Emirates,1444,1408.39,1.101,,,8
2020-06-29,ARE,United Arab Emirates,1409,1412.21,1.038,,,13
2020-06-30,ARE,United Arab Emirates,1481,1423.3,0.993,,166.9,2
2020-07-01,ARE,United Arab Emirates,1485,1436.79,1.284,74.2,161.8,7
2020-07-02,ARE,United Arab Emirates,1487,1444.52,1.3,,99.6,6
2020-07-03,ARE,United Arab Emirates,1420,1447.6,1.222,,,2
2020-07-04,ARE,United Arab Emirates,1426,1451.04,1.141,,,5
2020-07-05,ARE,United Arab Emirates,1425,1448.22,1.035,,0.0,6
2020-07-06,ARE,United Arab Emirates,1473,1457.34,1.256,,364.2,7
2020-07-07,ARE,United Arab Emirates,1514,1461.97,1.092,,,9
2020-07-08,ARE,United Arab Emirates,1474,1460.32,1.134,22.9,169.9,12
2020-07-09,ARE,United Arab Emirates,1432,1452.4,1.149,19.6,,3
2020-07-10,ARE,United Arab Emirates,1433,1454.17,1.19,,,7
2020-07-11,ARE,United Arab Emirates,1466,1459.84,1.136,37.4,335.7,8
2020-07-12,ARE,United Arab Emirates,1434,1461.23,1.218,,,9
2020-07-13,ARE,United Arab Emirates,1462,1459.67,1.155,39.3,212.5,6
2020-07-14,ARE,United Arab Emirates,1436,1448.5,1.29,15.9,,8
2020-07-15,ARE,United Arab Emirates,1467,1447.52,1.325,,,9
2020-07-16,ARE,United Arab Emirates,1436,1448.09,1.235,,93.1,8
2020-07-17,ARE,United Arab Emirates,1436,1448.54,1.273,,167.1,10
2020-07-18,ARE,United Arab Emirates,1435,1444.16,1.441,,,6
2020-07-19,ARE,United Arab Emirates,1435,1444.23,1.115,53.2,,7
2020-07-20,ARE,United Arab Emirates,1462,1444.26,1.111,,182.5,11
2020-07-21,ARE,United Arab Emirates,1486,1451.41,1.306,72.3,,6
2020-07-22,ARE,United Arab Emirates,1459,1450.24,1.434,79.0,193.5,11
2020-07-23,ARE,United Arab Emirates,1499,1459.29,1.215,,204.2,11
2020-07-24,ARE,United Arab Emirates,1557,1476.56,1.416,23.5,,10
2020-07-25,ARE,United Arab Emirates,1428,1475.49,1.256,41.7,,4
2020-07-26,ARE,United Arab Emirates,1426,1474.24,1.18,55.2,,6
2020-07-27,ARE,United Arab Emirates,1424,1468.83,1.151,30.7,278.2,6
2020-07-28,ARE,United Arab Emirates,1482,1468.25,1.316,30.9,,10
2020-07-29,ARE,United Arab Emirates,1485,1471.95,1.163,,,5
2020-07-30,ARE,United Arab Emirates,1417,1460.21,1.265,49.0,,7
2020-07-31,ARE,United Arab Emirates,1445,1444.29,1.418,,175.8,7
2020-08-01,ARE,United Arab Emirates,1472,1450.61,1.231,34.8,,6
2020-08-02,ARE,United Arab Emirates,1420,1449.66,1.395,45.4,,5
2020-08-03,ARE,United Arab Emirates,1447,1452.96,1.145,,194.9,4
2020-08-04,ARE,United Arab Emirates,1410,1442.76,1.215,,119.2,4
2020-08-05,ARE,United Arab Emirates,1398,1430.35,1.13,,158.8,3
2020-08-06,ARE,United Arab Emirates,1446,1434.54,1.28,,,11
2020-08-07,ARE,United Arab Emirates,1456,1436.1,1.353,,,10
2020-08-08,ARE,United Arab Emirates,1422,1428.97,1.284,20.1,126.0,10
2020-08-09,ARE,United Arab Emirates,1381,1423.49,1.401,37.0,,6
2020-08-10,ARE,United Arab Emirates,1377,1413.39,1.206,48.3,173.8,5
2020-08-11,ARE,United Arab Emirates,1372,1407.91,1.305,,182.9,5
2020-08-12,ARE,United Arab Emirates,1405,1408.99,1.232,31.6,,3
2020-08-13,ARE,United Arab Emirates,1425,1405.96,1.323,29.9,157.2,6
2020-08-14,ARE,United Arab Emirates,1378,1394.75,1.339,,240.9,4
2020-08-15,ARE,United Arab Emirates,1398,1391.27,1.349,,,6
2020-08-16,ARE,United Arab Emirates,1345,1386.13,1.186,,,7
2020-08-17,ARE,United Arab Emirates,1347,1381.86,1.206,53.5,,8
2020-08-18,ARE,United Arab Emirates,1333,1376.36,1.226,,,5
2020-08-19,ARE,United Arab Emirates,1327,1365.19,1.275,44.6,,5
2020-08-20,ARE,United Arab Emirates,1365,1356.55,1.309,,294.5,9
2020-08-21,ARE,United Arab Emirates,1314,1347.49,1.373,76.8,149.8,6
2020-08-22,ARE,United Arab Emirates,1368,1343.21,1.22,,,6
2020-08-23,ARE,United Arab Emirates,1327,1340.68,1.146,,,6
2020-08-24,ARE,United Arab Emirates,1430,1352.62,1.524,,159.9,7
2020-08-25,ARE,United Arab Emirates,1291,1346.56,1.197,,,6
2020-08-26,ARE,United Arab Emirates,1279,1339.66,1.395,66.4,225.8,7
2020-08-27,ARE,United Arab Emirates,1271,1326.32,1.317,,,4
2020-08-28,ARE,United Arab Emirates,1264,1319.08,1.34,27.5,,6
2020-08-29,ARE,United Arab Emirates,1304,1310.02,1.317,,,8
2020-08-30,ARE,United Arab Emirates,1250,1298.9,1.28,,297.7,4
2020-08-31,ARE,United Arab Emirates,1239,1271.62,1.367,,,3
2020-09-01,ARE,United Arab Emirates,1231,1263.04,1.278,,337.0,7
2020-09-02,ARE,United Arab Emirates,1259,1260.26,1.44,56.8,,4
2020-09-03,ARE,United Arab Emirates,1214,1252.02,1.382,,,8
2020-09-04,ARE,United Arab Emirates,1244,1249.16,1.387,23.5,,9
2020-09-05,ARE,United Arab Emirates,1248,1241.09,1.278,70.9,136.4,6
2020-09-06,ARE,United Arab Emirates,1186,1232.06,1.307,,234.0,6
2020-09-07,ARE,United Arab Emirates,1177,1223.17,1.213,,,7
2020-09-08,ARE,United Arab Emirates,1168,1214.13,1.298,49.1,,11
2020-09-09,ARE,United Arab Emirates,1193,1204.71,1.232,19.4,,3
2020-09-10,ARE,United Arab Emirates,1153,1196.01,1.468,60.3,,8
2020-09-11,ARE,United Arab Emirates,1170,1185.45,1.343,,,3
2020-09-12,ARE,United Arab Emirates,1216,1180.91,1.357,48.8,330.3,4
2020-09-13,ARE,United Arab Emirates,1129,1172.74,1.319,,153.5,4
2020-09-14,ARE,United Arab Emirates,1107,1162.77,1.363,43.3,,8
2020-09-15,ARE,United Arab Emirates,1150,1160.2,1.591,61.3,,7
2020-09-16,ARE,United Arab Emirates,1089,1145.22,1.316,,365.4,5
2020-09-17,ARE,United Arab Emirates,1119,1140.38,1.282,,53.5,9
2020-09-18,ARE,United Arab Emirates,1117,1132.93,1.401,,,4
2020-09-19,ARE,United Arab Emirates,1053,1109.63,1.097,,,2
2020-09-20,ARE,United Arab Emirates,1111,1107.0,1.358,42.6,,5
2020-09-21,ARE,United Arab Emirates,1076,1102.48,1.315,,,4
2020-09-22,ARE,United Arab Emirates,1019,1083.79,1.255,,,8
2020-09-23,ARE,United Arab Emirates,1022,1074.33,1.406,,,5
2020-09-24,ARE,United Arab Emirates,1008,1058.53,1.362,17.9,327.6,2
2020-09-25,ARE,United Arab Emirates,985,1039.54,1.178,,,6
2020-09-26,ARE,United Arab Emirates,1015,1034.09,1.294,,,6
2020-09-27,ARE,United Arab Emirates,1031,1022.68,1.071,,,8
2020-09-28,ARE,United Arab Emirates,947,1004.32,1.391,63.8,187.2,5
2020-09-29,ARE,United Arab Emirates,1001,1001.76,1.391,39.9,226.5,7
2020-09-30,ARE,United Arab Emirates,971,994.44,1.285,,,5
2020-10-01,ARE,United Arab Emirates,921,981.94,1.419,,,3
2020-10-02,ARE,United Arab Emirates,905,970.58,1.238,,113.8,4
2020-10-03,ARE,United Arab Emirates,883,951.77,1.271,,,6
2020-10-04,ARE,United Arab Emirates,870,928.81,1.41,,,3
2020-10-05,ARE,United Arab Emirates,865,917.13,1.301,31.7,,7
2020-10-06,ARE,United Arab Emirates,844,894.69,1.364,,,11
2020-10-07,ARE,United Arab Emirates,830,874.58,1.315,48.7,,6
2020-10-08,ARE,United Arab Emirates,817,859.76,1.332,,197.1,5
2020-10-09,ARE,United Arab Emirates,803,845.22,1.337,63.6,157.5,6
2020-10-10,ARE,United Arab Emirates,807,834.39,1.304,79.7,,4
2020-10-11,ARE,United Arab Emirates,776,820.89,1.406,,227.7,2
2020-10-12,ARE,United Arab Emirates,766,806.68,1.314,,,8
2020-10-13,ARE,United Arab Emirates,748,792.97,1.379,,,3
2020-10-14,ARE,United Arab Emirates,734,779.15,1.306,,197.4,2
2020-10-15,ARE,United Arab Emirates,797,776.38,1.226,,251.2,2
2020-10-16,ARE,United Arab Emirates,712,763.29,1.472,,,3
2020-10-17,ARE,United Arab Emirates,718,750.54,1.431,59.6,,2
2020-10-18,ARE,United Arab Emirates,676,736.33,1.611,,96.1,4
2020-10-19,ARE,United Arab Emirates,781,738.52,1.278,67.4,218.6,3
2020-10-20,ARE,United Arab Emirates,739,737.28,1.363,,139.5,7
2020-10-21,ARE,United Arab Emirates,700,732.53,1.372,34.7,,5
2020-10-22,ARE,United Arab Emirates,659,712.73,1.484,,,6
2020-10-23,ARE,United Arab Emirates,603,697.25,1.335,63.7,,1
2020-10-24,ARE,United Arab Emirates,610,681.73,1.27,,,4
2020-10-25,ARE,United Arab Emirates,625,674.38,1.508,,218.3,2
2020-10-26,ARE,United Arab Emirates,557,642.4,1.356,,,5
2020-10-27,ARE,United Arab Emirates,542,614.23,,,,2
2020-10-28,ARE,United Arab Emirates,527,589.42,,,272.3,4
2020-10-29,ARE,United Arab Emirates,511,568.35,,,,1
2020-10-30,ARE,United Arab Emirates,579,564.89,,,,5
2020-10-31,ARE,United Arab Emirates,480,546.44,,45.4,225.7,3
2020-11-01,ARE,United Arab Emirates,465,523.59,,,215.5,1
2020-11-02,ARE,United Arab Emirates,465,510.43,,,98.4,2
2020-11-03,ARE,United Arab Emirates,434,494.93,,63.9,,2
2020-11-04,ARE,United Arab Emirates,465,486.12,,,133.4,2
2020-11-05,ARE,United Arab Emirates,465,479.55,,,148.9,4
2020-11-06,ARE,United Arab Emirates,405,454.7,,,,0
2020-11-07,ARE,United Arab Emirates,453,450.75,,34.7,,1
2020-11-08,ARE,United Arab Emirates,354,434.96,,39.0,370.0,0
2020-11-09,ARE,United Arab Emirates,431,430.02,,67.2,,1
2020-11-10,ARE,United Arab Emirates,322,414.12,,,353.6,2
2020-11-11,ARE,United Arab Emirates,306,391.42,,49.1,,2
2020-11-12,ARE,United Arab Emirates,290,366.38,,,,1
2020-11-13,ARE,United Arab Emirates,368,361.03,,,,0
2020-11-14,ARE,United Arab Emirates,258,333.15,,,144.3,3
2020-11-15,ARE,United Arab Emirates,241,317.03,,,,4
2020-11-16,ARE,United Arab Emirates,225,287.7,,,,0
2020-11-17,ARE,United Arab Emirates,209,271.51,,,168.3,1
2020-11-18,ARE,United Arab Emirates,193,255.28,1.427,,285.5,1
2020-11-19,ARE,United Arab Emirates,176,239.02,1.42,,248.3,5
2020-11-20,ARE,United Arab Emirates,237,220.39,1.513,44.4,,0
2020-11-21,ARE,United Arab Emirates,210,213.52,1.287,,,2
2020-11-22,ARE,United Arab Emirates,127,197.18,1.239,65.8,300.7,1
2020-11-23,ARE,United Arab Emirates,111,180.81,1.359,,291.7,0
2020-11-24,ARE,United Arab Emirates,97,164.84,1.391,61.4,,1
2020-11-25,ARE,United Arab Emirates,195,165.21,1.492,,,0
2020-11-26,ARE,United Arab Emirates,82,151.68,1.541,,226.9,0
2020-11-27,ARE,United Arab Emirates,90,130.72,1.521,,,0
2020-11-28,ARE,United Arab Emirates,28,104.82,1.428,,134.1,0
2020-11-29,ARE,United Arab Emirates,15,88.79,1.48,33.5,,0
2020-11-30,ARE,United Arab Emirates,36,78.13,1.336,,,0
2020-12-01,ARE,United Arab Emirates,26,68.02,1.417,,200.1,0
2020-12-02,ARE,United Arab Emirates,37,45.37,1.281,23.0,,0
2020-12-03,ARE,United Arab Emirates,117,50.45,1.406,23.6,,0
2020-12-04,ARE,United Arab Emirates,70,47.48,1.409,,,0
2020-12-05,ARE,United Arab Emirates,192,70.79,1.572,,,1
2020-12-06,ARE,United Arab Emirates,137,88.2,1.377,,92.0,2
2020-12-07,ARE,United Arab Emirates,122,100.55,1.408,,166.8,0
2020-12-08,ARE,United Arab Emirates,157,119.24,1.423,,202.7,2
2020-12-09,ARE,United Arab Emirates,152,135.69,1.354,56.6,,0
2020-12-10,ARE,United Arab Emirates,168,142.97,1.319,,,3
2020-12-11,ARE,United Arab Emirates,195,160.87,1.529,,,1
2020-12-12,ARE,United Arab Emirates,245,168.5,1.3,,255.4,0
2020-12-13,ARE,United Arab Emirates,217,179.97,1.265,33.0,258.8,2
2020-12-14,ARE,United Arab Emirates,233,195.82,1.466,53.5,121.1,2
2020-12-15,ARE,United Arab Emirates,250,209.01,1.513,,,2
2020-12-16,ARE,United Arab Emirates,313,232.12,1.352,57.3,,5
2020-12-17,ARE,United Arab Emirates,355,258.77,1.353,,,2
2020-12-18,ARE,United Arab Emirates,316,276.11,1.425,,,0
2020-12-19,ARE,United Arab Emirates,343,290.15,1.326,,,2
2020-12-20,ARE,United Arab Emirates,330,306.33,1.318,,41.7,4
2020-12-21,ARE,United Arab Emirates,390,328.73,1.484,,,1
2020-12-22,ARE,United Arab Emirates,390,348.77,1.456,91.1,,4
2020-12-23,ARE,United Arab Emirates,378,358.03,1.526,,,1
2020-12-24,ARE,United Arab Emirates,394,363.67,1.269,59.5,133.3,0
2020-12-25,ARE,United Arab Emirates,410,377.05,1.343,,261.1,1
2020-12-26,ARE,United Arab Emirates,426,388.82,1.421,,76.6,2
2020-12-27,ARE,United Arab Emirates,499,412.99,1.3,,149.4,2
2020-12-28,ARE,United Arab Emirates,535,433.64,1.456,,,2
2020-12-29,ARE,United Arab Emirates,473,445.46,1.514,,149.3,4
2020-12-30,ARE,United Arab Emirates,488,461.17,1.333,,,5
2020-12-31,ARE,United Arab Emirates,517,478.69,1.394,,,0
2021-01-01,ARE,United Arab Emirates,520,494.37,1.535,,233.7,0
2021-01-02,ARE,United Arab Emirates,581,516.55,1.569,51.1,221.3,2
2021-01-03,ARE,United Arab Emirates,550,523.71,1.463,,,3
2021-01-04,ARE,United Arab Emirates,612,534.8,1.447,,,2
2021-01-05,ARE,United Arab Emirates,580,550.12,1.302,,,2
2021-01-06,ARE,United Arab Emirates,638,571.48,1.422,43.8,,3
2021-01-07,ARE,United Arab Emirates,610,584.8,1.441,98.5,,1
2021-01-08,ARE,United Arab Emirates,625,599.83,1.364,,,3
2021-01-09,ARE,United Arab Emirates,735,621.87,1.325,,,6
2021-01-10,ARE,United Arab Emirates,708,644.44,1.255,,197.2,6
2021-01-11,ARE,United Arab Emirates,669,652.53,1.209,70.4,,3
2021-01-12,ARE,United Arab Emirates,684,667.33,1.187,91.8,,0
2021-01-13,ARE,United Arab Emirates,758,684.54,1.439,,,2
2021-01-14,ARE,United Arab Emirates,712,699.17,1.395,,217.0,3
2021-01-15,ARE,United Arab Emirates,765,719.21,1.331,,,5
2021-01-16,ARE,United Arab Emirates,774,724.76,1.345,57.8,,3
2021-01-17,ARE,United Arab Emirates,755,731.5,1.398,,,5
2021-01-18,ARE,United Arab Emirates,769,745.76,1.36,,244.1,8
2021-01-19,ARE,United Arab Emirates,783,759.93,1.241,,235.6,8
2021-01-20,ARE,United Arab Emirates,885,778.03,1.466,50.1,133.9,5
2021-01-21,ARE,United Arab Emirates,810,792.0,1.404,56.6,211.9,0
2021-01-22,ARE,United Arab Emirates,864,806.1,1.399,68.5,229.1,2
2021-01-23,ARE,United Arab Emirates,868,819.48,1.455,,200.6,2
2021-01-24,ARE,United Arab Emirates,918,842.84,1.289,51.7,,6
2021-01-25,ARE,United Arab Emirates,864,856.39,1.49,,,6
2021-01-26,ARE,United Arab Emirates,887,871.29,1.354,,377.0,4
2021-01-27,ARE,United Arab Emirates,918,875.97,1.456,,,3
2021-01-28,ARE,United Arab Emirates,946,895.42,1.439,41.8,,7
2021-01-29,ARE,United Arab Emirates,973,911.03,1.261,,229.9,3
2021-01-30,ARE,United Arab Emirates,928,919.64,1.414,63.0,,6
2021-01-31,ARE,United Arab Emirates,941,922.81,1.395,67.2,295.4,3
2021-02-01,ARE,United Arab Emirates,1021,945.28,1.364,,99.4,5
2021-02-02,ARE,United Arab Emirates,965,956.46,1.35,,,2
2021-02-03,ARE,United Arab Emirates,1056,976.19,1.35,,247.2,8
2021-02-04,ARE,United Arab Emirates,989,982.35,1.438,,,6
2021-02-05,ARE,United Arab Emirates,1001,986.37,1.414,,,7
2021-02-06,ARE,United Arab Emirates,1013,998.5,1.358,,,1
2021-02-07,ARE,United Arab Emirates,1025,1010.51,1.204,27.8,269.8,4
2021-02-08,ARE,United Arab Emirates,1100,1021.75,1.401,79.3,108.6,4
2021-02-09,ARE,United Arab Emirates,1086,1039.0,1.423,,,7
2021-02-10,ARE,United Arab Emirates,1083,1042.91,1.579,,194.8,6
2021-02-11,ARE,United Arab Emirates,1074,1055.02,1.455,,,3
2021-02-12,ARE,United Arab Emirates,1081,1066.36,1.156,57.4,205.9,5
2021-02-13,ARE,United Arab Emirates,1091,1077.57,1.353,57.8,,10
2021-02-14,ARE,United Arab Emirates,1102,1088.63,1.525,,295.3,4
2021-02-15,ARE,United Arab Emirates,1135,1093.74,1.404,,,4
2021-02-16,ARE,United Arab Emirates,1126,1099.51,1.373,71.9,,4
2021-02-17,ARE,United Arab Emirates,1182,1113.65,1.429,,,3
2021-02-18,ARE,United Arab Emirates,1167,1126.89,1.275,,214.3,3
2021-02-19,ARE,United Arab Emirates,1156,1137.62,1.384,,,6
2021-02-20,ARE,United Arab Emirates,1277,1164.07,1.309,,248.2,4
2021-02-21,ARE,United Arab Emirates,1193,1177.02,1.331,,,7
2021-02-22,ARE,United Arab Emirates,1182,1183.64,1.414,74.7,,3
2021-02-23,ARE,United Arab Emirates,1284,1206.17,1.237,40.9,,7
2021-02-24,ARE,United Arab Emirates,1260,1217.31,1.457,,302.0,6
2021-02-25,ARE,United Arab Emirates,1300,1236.34,1.284,51.2,,9
2021-02-26,ARE,United Arab Emirates,1218,1245.23,1.351,,242.7,9
2021-02-27,ARE,United Arab Emirates,1275,1245.07,1.183,5.1,267.2,4
2021-02-28,ARE,United Arab Emirates,1235,1251.14,1.393,,297.5,6
2021-03-01,ARE,United Arab Emirates,1283,1265.54,1.464,54.2,,6
2021-03-02,ARE,United Arab Emirates,1252,1260.9,1.266,74.0,269.8,7
2021-03-03,ARE,United Arab Emirates,1260,1260.81,1.205,,174.8,7
2021-03-04,ARE,United Arab Emirates,1319,1263.54,1.342,12.5,,3
2021-03-05,ARE,United Arab Emirates,1275,1271.7,1.458,62.4,226.6,6
2021-03-06,ARE,United Arab Emirates,1283,1272.71,1.166,37.3,,3
2021-03-07,ARE,United Arab Emirates,1308,1283.13,1.198,,,6
2021-03-08,ARE,United Arab Emirates,1326,1289.27,1.262,37.5,,10
2021-03-09,ARE,United Arab Emirates,1353,1303.7,1.223,46.3,,9
2021-03-10,ARE,United Arab Emirates,1348,1316.32,1.222,,,7
